"County","Site_recode_ICD_O_3_WHO_2008","Age_Adjusted_Rate","Count","Population","Smoking_Rate"
"Alameda","Lung and Bronchus",41.5,3416,8041533,11.5
"Alpine","Lung and Bronchus",22,2,5466,12.6
"Amador","Lung and Bronchus",59.6,209,185015,12.6
"Butte","Lung and Bronchus",57.9,849,1117709,15.9
"Calaveras","Lung and Bronchus",45.7,191,224439,12.6
"Colusa","Lung and Bronchus",53.2,57,106940,18.9
"Contra Costa","Lung and Bronchus",42.7,2665,5550046,12.6
"Del Norte","Lung and Bronchus",52.6,93,137942,24.7
"El Dorado","Lung and Bronchus",45.9,593,916768,15.9
"Fresno","Lung and Bronchus",44.9,1946,4815675,19.1
"Glenn","Lung and Bronchus",61.6,101,139477,18.9
"Humboldt","Lung and Bronchus",55.2,463,675292,14.4
"Imperial","Lung and Bronchus",38.5,322,894195,10.2
"Inyo","Lung and Bronchus",45.6,71,91318,12.6
"Kern","Lung and Bronchus",47,1687,4355839,14.7
"Kings","Lung and Bronchus",40.1,237,752081,13.9
"Lake","Lung and Bronchus",72.7,367,320233,25.5
"Lassen","Lung and Bronchus",44.6,76,159820,15.3
"Los Angeles","Lung and Bronchus",36.6,18305,50321257,11.6
"Madera","Lung and Bronchus",46.9,361,767211,10.6
"Marin","Lung and Bronchus",35.1,680,1299494,8.9
"Mariposa","Lung and Bronchus",45.4,76,88616,19.2
"Mendocino","Lung and Bronchus",48.8,305,436842,15
"Merced","Lung and Bronchus",48,537,1325684,16.4
"Modoc","Lung and Bronchus",40.1,32,45587,15.3
"Mono","Lung and Bronchus",25.9,20,70372,12.6
"Monterey","Lung and Bronchus",36.8,763,2154029,10.6
"Napa","Lung and Bronchus",46.3,429,702928,15.6
"Nevada","Lung and Bronchus",40.9,345,492547,15.3
"Orange","Lung and Bronchus",39.3,6508,15674064,11.1
"Placer","Lung and Bronchus",44.6,1118,1849329,9
"Plumas","Lung and Bronchus",43.2,74,94255,15.3
"Riverside","Lung and Bronchus",44,5294,11616550,11.8
"Sacramento","Lung and Bronchus",53.7,4078,7392971,15.9
"San Benito","Lung and Bronchus",40.1,108,289744,10.5
"San Bernardino","Lung and Bronchus",42.7,3871,10525296,13.8
"San Diego","Lung and Bronchus",43.7,7177,16260439,11
"San Francisco","Lung and Bronchus",46.3,2288,4267357,10.8
"San Joaquin","Lung and Bronchus",51.7,1764,3576297,13.8
"San Luis Obispo","Lung and Bronchus",43.2,813,1391569,13
"San Mateo","Lung and Bronchus",40.1,1773,3786485,6.7
"Santa Barbara","Lung and Bronchus",39.3,957,2197658,11.1
"Santa Clara","Lung and Bronchus",39.3,3720,9459844,8.6
"Santa Cruz","Lung and Bronchus",37,538,1357213,10.5
"Shasta","Lung and Bronchus",60.2,787,892591,20.6
"Sierra","Lung and Bronchus",27,8,15035,15.3
"Siskiyou","Lung and Bronchus",51.1,189,217877,24.7
"Solano","Lung and Bronchus",50.6,1209,2149713,11.5
"Sonoma","Lung and Bronchus",43.4,1391,2491239,12.7
"Stanislaus","Lung and Bronchus",48.7,1252,2651871,16.5
"Sutter","Lung and Bronchus",51.4,276,475609,14.9
"Tehama","Lung and Bronchus",61,269,315549,18.9
"Trinity","Lung and Bronchus",61.6,72,65957,24.7
"Tulare","Lung and Bronchus",38.5,747,2280330,16.9
"Tuolumne","Lung and Bronchus",42.9,202,269483,19.2
"Ventura","Lung and Bronchus",39.4,1795,4220088,10.4
"Yolo","Lung and Bronchus",43.6,405,1048800,11.5
"Yuba","Lung and Bronchus",64.9,225,369019,22.3
